text,gender,catatan
"Flexible Diet Plan: Revealed for the first time, secret methods for losing weight, without having to give up��_ https://t.co/yGQYYVCYKi",female,"Promosi/diet tips, konteks"
Total loss of respect for the little twat https://t.co/eQstpYJEck,male,"Nada agresif, sarkastik"
"he needs his own intro for when you pick up the phone 'CLIFFORD ELLIS, THE GREATEST BROCKER IN THE WORLD' lmfao",male,"Humor sarkastik + lmfao, maskulin"
Fortune favors the funny in Guatemala election: https://t.co/E1Qa16AweK https://t.co/c8nvJn3VaN,male,"Berita politik, formal"
@megwacha Actually the UC announcement seems like it could be related to that.,male,"Diskusi ringan, netral"
Would ���The Affair�۪ Be Easier To Watch If The Kids Weren�۪t Such Brats? [Spoilers]: The Showtime series The Affa... https://t.co/o6jpVaUFdz,female,bahas film
"NBD, This Comet Is Spewing Gallons of Wine In Space: Scientists have discovered that the comet Lovejoy is spew... https://t.co/42Fa4wwoA1",male,Berita sains dengan nada bercanda
Stats for the day have arrived. 1 new unfollower. Stats via https://t.co/VuMDKp70A7.,male,"Nada datar, statistik personal"
#VivienLeigh Gone With The Wind Clark Gable Vivien Leigh #Photo https://t.co/yVO2B34jrw #Film #Actress,female,Topik aktris/film klasik
good seeing you tonight @Caspar_Lee _��� enjoy the film xx,female,"Ekspresif, pakai tanda xx "
"Kaito's song is about chasing after an idealized version of himself, but in the real world, he's alone. #starmyu https://t.co/TvLbxrYMRK",female,Analisis emosional di lagu
Photo: The Fellowship of the Ring: Book One in the Lord of the Rings��_: https://t.co/4A1v5WdDd4 https://t.co/Hyosq3fr5e,male,"Netral, konten referensi buku"
"I kept telling myself the temptations would let me in,
And they did.",female,"Puitis, emosional"
Photo: Snow Queen - Vlad Barbe | Kids &amp; Family |716822518: The Snow Queen is a fairy tale by Hans Christian... https://t.co/CC4qqNHvjY,female,Cerita dongeng/film anak
"Fool me three times, fuck the peace signs
Load the chopper, let it rain on you",female,kutipan lirik
"The world(esp EqAnon island)needs more people like @EQcompliments, @HorseShowTutor, @StudioOnWhitney, @DejavuEq &amp; @AthleticEq #AmazingLadies",female,"Pakai hashtag AmazingLadies, nada positif & apresiatif"
@bentorkington @NZInlandRevenue ...don't bother with KiwiSaver until the kickstart fund is restored,male,"Kritik kebijakan finansial, nada serius"
"No matter the results, words can't express how proud I am of @csunfasa! All the dedication these new &amp; old members gave left me speechless!",female,"Ekspresif, emosional, banyak pujian"
Hello from the... Nah,male,"Singkat, bercanda, sarkas"
"""Came into the game when white rappers weren't a cliche""

@classified spittin' that truth",male,"Rap lyrics, nada maskulin"
@EVINELive yep just had to wait until the next day,male,"Jawaban netral, datar"
���@thacelebritea Seen on the Scene: Spotted #RavenSymone out and about earlier this week [r.p @theybfdaily ] https://t.co/sjNH93a0L3�۝ ������������������,female,"Gosip selebriti, nada feminim"
"@justinbieber  Too much swag the Acoustic version. you are too cool, kept silent makes me laughter has the end with vibratos lol _���_���",female,"Fangirl tone, emoticon, pakai lol"
Listen to @johnmdonnelly discussing his exclusive reporting on potentially fatal flaws in #F35 ejector seat https://t.co/rZ1BEKbY6P @CQnow,male,"Topik militer/teknis, formal"
@BarCampPhilly @FlipperPA Yes! Would love to throw in the hat in for a couple local folks over at @iQmediacorp. Happy to arrange a meet.,male,"Ramah, networking, tapi formal"
"Coffee Taster's Flavor Wheel from the SCAA
#coffee
https://t.co/GOLukszOLU https://t.co/HJHczkaiQy",male,"Informasi objektif, netral"
We have a chance for the first time in decades to elect someone who will not be owned by lobby groups or big corporations. Or Saudi Arabia,male,"Nada politik, formal"
Finally realized I'll never get the answers I want,female,"Nada emosional, reflektif"
I saw and met @MarinasDiamonds five months ago today.  I'm forever grateful for the opportunity I was given. _�ե_��_ https://t.co/vLrCSnqN2I,female,"Emosional, penuh syukur, fangirl tone"
"Starbucks Mobile Ordering Comes to the UK - Mobile Marketing https://t.co/YeCugANJLy
#emarketingmkt412",male,"Berita bisnis/marketing, netral"
The little things you do always get me heated,female,"Nada emosional, personal"
#Pennsylvania Believing in yourself is the first secret to success! https://t.co/9sIPL3VcxE,male,"Motivasi/inspirasi, netra"
"Corporate welfare is the worst. Dark funds for the Military industrial complex is another. 

All these posts with... https://t.co/awmdynzFxZ",male,"Kritik politik, nada tegas"
"Rapper Tyga to appear on the next season of KUWTK and he Will Get $25k Per Appearance
- See more &gt;&gt;... https://t.co/b1Rw1LkjHG",female,Gosip selebriti/hiburan
"#Earth teach me quiet ~
.
.
.
as the grasses are still with new light.",female,"Puitis, reflektif, nada lembut"
"@starsandglitta _�Х_ُ_I'm not for the fake friends, good day _���",female,"Nada emosional, ekspresif"
Nothing like the midwest. Had a great weekend at The Ruffin's wedding. Im glad we all came together��_ https://t.co/DrK2UkEKxV,female,"Nada personal, emosional"
Take me back to the time when your clothes took up my drawers,female,Nada romantis/emosional
"Mentally ill woman with her two pink-dyed poodles threatened to shoot someone, followed by the throwing 1/2",male,"Berita kriminal, nada faktual"
"@ell_morton i just face timed him like 5 mins ago and they're @ the airport in Dallas, getting a plane in 2 hours. They're okay _���_���",female,"Nada personal, ekspresif"
The woes_��__�_�_��� https://t.co/CXWHx6DTgW,female,"Nada emosional, singkat"
ISIS Launches BIZARRE New Weapon In War Against The Infidel �_� FLOATING CONDOM BOMBS (Video) | BB4SP https://t.co/c4nA4Cc4dK,male,"Berita politik/konflik, nada maskulin"
Too excited to spend my Halloween night in the PIT with @sigmonmakenzie &amp; @ChrisYoungMusic _ٍ�_�__,female,"Nada emosional, excited"
"At Steidl &amp; Steinberg, we understand that owing #money to the #IRS or the state is scary. We can help: https://t.co/riC1oHcD1A",male,Nada formal/promosi bisnis
1 amazing follower in the last week and there will be more tomorrow. Growing with https://t.co/MIjN2Phyly,male,"Statistik followers, promosi tool"
"Drugs, greed, and kidnapping  plague Dani and Liz - Bluewater Ganja, 9th of the Bluewater Thrillers #IAN1 #sailing https://t.co/60BrKidlAP",male,membahas film thriller/novel
@Nataliaa_45 @Caspar_Lee MY PHONE AND IPAD ARE GOING OUT THE WINDOW IN A MINUTE OMG I CANT BREATHE JOE FAVED CASPAR SAID THAT AND I MET JOE,female,"Sangat emosional, excited cerita"
the sky is making weird ass noises,male,"Nada santai, sarkas, maskulin"
MT @nytimesarts: The longest-running play in America is set to open in NYC for the 1st time https://t.co/65oIQVi9M8 https://t.co/6WIFY90anM,male,"Berita seni/hiburan, nada netral"
#VoteOneDirection @onedirection #AMAs Artist Of The Year  https://t.co/pnDV9MyCVY,female,"Fangirl campaign, emosional"
Alysha is half mom and half worlds greatest friend of the group,female,"Gaya personal, ekspresif, ada perasaan kedekatan."
The creeps again @CocoM2Z  https://t.co/8ZTKJXOn8v,male,"Gaya percakapan, ringan."
And that I'm apparently in a contract despite the whole spiel about no contracts when I got my phone. .@verizon,male,"Gaya kritik, ada frustas"
The One You Fall In Love With You Should Feel Like Nothin Else Matters.. #Fr,female,"Gaya romantis, emosional."
The #fate of Europe�۪s net neutrality will be decided tomorrow https://t.co/zgqa8d49qX https://t.co/5Qk8zDNPQq,male,"Gaya informatif, topik serius."
got the job _���,female,"Ekspresif, ada emoji "
Selling the #Recruiting Process Isn�۪t a Gamble - https://t.co/Qbsl8ix3dy #HR #TheCandEs #TChat #HRTechConf,male,"Gaya profesional, topik bisnis, netral."
"I just bought tickets for Post War Glamour Girls  at The Cookie, Leicester from https://t.co/BP7THGHF37! https://t.co/efU07V6cN3 via @ents24",female,"Gaya personal, berbagi pengalaman"
The Role of the Hippocampus in Long-term Memory https://t.co/SRCXtbYrMC,male,"Topik akademis, serius, netral."
Stats for the day have arrived. 1 new unfollower. Stats via https://t.co/Dzu9HX59Yb.,male,"Gaya netral, berbagi data."
October and the Apostrophe https://t.co/Mhng687f9w #publishing #authors,male,"Gaya serius, topik profesional."
720p option is the best,male,"Netral, komentar singkat."
"#ArtistOfTheYear @onedirection #AMAs 

From all the four albums we heard MM is my fav but it could be changed rly fast when I hear the fift",female,"Ekspresif, berbicara tentang musik, menyebut album favorit."
Fantastic launch by @Snapdeal All apps now run smoothly on OnePlus One thanks to the quad core processor! https://t.co/2yMa7R3PcU 4742,male,Fokus pada fakta dan hasil.
7 new unfollowers and 5 new followers (hello! hello!) in the last week. Via https://t.co/WL2CRq09dV,male,"Statistik followers, nada netral tapi ada ekspresi ringan"
"Except for a couple of broken plays, the Jets did a really good job countering what New England does well on O and exploiting D weaknesses",male,"Analisis olahraga, maskulin"
Look at Ken Barlow putting it on Audrey Roberts the old rascal!,male,"Nada bercanda, ekspresif"
@AmandaDybwad the fact is that I don't need/want anyone _���,female,"Nada emosional, personal, ada emoji"
Be In The Lookout!!! _���_���_��� https://t.co/dfZqv6Kjbh,male,"Nada singkat, perintah, maskulin"
@LindsayLkin you know there is a squirrel emoji. Oh wait your not part of the iPhone family _ِ�_���,female,"Nada bercanda, ekspresif"
"@tombertram91 NO WAY! You're going to be the opening act, aren't you?!",female,"Nada emosional, excited"
@NBA Im hyped bc im so excited for the new season play offs! And who's team will win and who'll be the star!_ُ� #ThisIsWhyWePlay #Sweepstakes,male,Nada antusias + olahraga
Photo: The chronicles of Emerland. Solitaire. Games Adventure Mac App ***** $4. ��_: https://t.co/xCJnfYaPvw https://t.co/jRlgh3fNSg,male,Promosi aplikasi/game
Hey guys I've decided I'll be on maybe for 20 minutes the most each day !,male,"Nada santai, sosial"
@axeslasher @MetalShayne2000 I was super hooked on the Woodland Tortuary talk.,male,"Antusias, tapi nada netral"
Coming in here with the worst attitude while I'm trying to help them _���,female,"Nada emosional, personal, emoji"
Hot of the presses! https://t.co/fZK5fjSWEJ,male,"Singkat, promosi berita"
@stloto any update when you can use the site again?,male,"Pertanyaan netral, teknis"
Thanks @WinkMartindale for the shout out! I�۪m looking pretty good for 75! #FamousName https://t.co/UMrFosWY0u,male,"Nada personal, positif, ringan"
also where are all of steven's interviews? emily did about 7 million after beth died &amp; so did all the other actors afterwards so,female,"Nada emosional, fandom, ekspresif"
@bethneilson12 happy birthday Beth!! Hope you had the best day _���_���_���_���,female,"Ucapan ultah, emosional"
This is still the sweetest thing ever to me. And you two made my night. https://t.co/Nms52Uverj,female,"Nada personal, penuh perasaa"
@SavageJaspy I like the purple but you seem more of a green person?,female,"Nada santai, sosial, ramah"
i am fairly normal for someone who could've died the other night tho,female,"Ekspresif, gaya percakapan dengan sentuhan emosi tentang pengalaman pribadi."
people saying nice things about this game in particular makes me feel like maybe i'm doing the right thing after all https://t.co/9ZrbUY19FY,female,"Ekspresi penuh perasaan, kebingungannya terselesaikan"
at a kid's party and we were the ones getting fun out of the balloons. we can never take any��_ https://t.co/0mtdf9CmGr,male,"Gaya santai, bercerita, ringan."
"Now , you re already have the one . Appreciate him as well .",male,"Gaya percakapan, sedikit formal tapi tidak ekspresif."
"Via Jewish Voice for Peace "" Analysis of ""racist, blame-the-victim"" arguments which ""dehumanize Palestinians and... https://t.co/fTKu2RMQN1",male,"Gaya informasi serius, topik berat, analisis."
Congrats!!! Enjoy the GC and new phone!!! @thedomesticexec @dmthoma #TreatYourFamily,female,Banyak tanda seru dan ekspresif.
"If the game tonight can hit 39 total points or more, 11 $5 scratch offs will be coming my way",male,prediksi atau ekspektasi dalam konteks permainan.
"Gala Bingo clubs bought for �241m: The UK's largest High Street bingo operator, Gala, is being taken over by��_ https://t.co/T7UOjvQqjT",male,"Gaya berita/informasi, topik finansial."
@JoseFranco_ daily caller always wins the contest to most quickly take my joking tweets entirely too seriously,male,"sarkasme, bercanda."
@onedirection Artist of the Year #AMAs https://t.co/DsjN39Gzs1,female,"Ada hashtag, nada fans."
@RIGHTWERK @musicnews_facts isn't she the one that hated on a dude for wearing a suit,male,"Sarkas, sedikit kritik."
Remember when esteban was calling the dead but got put on hold https://t.co/XJ1Tjd8d5z,male,"humor, bercanda."
@CineBroughton 1 more hour until #SPECTRE red bull at the ready #007,male,membahas film action
Do americans find it weird to eat fries with mayo cos we do it all the time,female,"Santai, percakapan sosial"
Thanks DJ Polish Sausage for the follow!,male,"Santai, percakapan sosial"
A sample of the fall colors we encountered during our day hike to Mount LeConte. This picture was��_ https://t.co/qlz7fookM4,female,"Deskriptif, personal, lembut"
When u find out ur advisor put u in all the wrong classes this semester so ur a year behind _٪�,female,"Nada emosional, curhat"
I'm loving the harrypotter Sky channel �Ϭ_�Ө,female,"ekspresif, fans harrry potter"
Tell @SenateDems to stand up to Monsanto and protect #GMO labeling. Sign the petition: https://t.co/SL82I7iqh8 #p2 #RightToKnow #DARKAct,male,"Politik, formal, nada maskulin"
@FitStar I just sent you a DM describing the issue and the email address associated with my account.,male,membahas teknis
Last week a teacher said that going to an HBCU doesn't give you an accurate perception of what the world is like and I'm still not over it,female,"Nada emosional, personal"
ican turn from side to side in this damn bed w/o havin to sit all the way up!,female,"Nada personal, ekspresif"
Win the Fight KNs . #PushAwardsKathNiels,female,"Kampanye fandom, emosional"
#News Amazon celebrates new vinyl store in unveiling the �۪13 Day Vinyl��_ https://t.co/OlKFmaMmtC #EDM  #Followback https://t.co/Z0cq8di0sp,male,"Berita bisnis/musik, nada netral"
@mdeedoubleyou the fact that I miss you so much makes me want to cry. I'm dropping out just so I can move to Cali. ������,female,"emosional, penuh perasaan"
@Bekkimarshall3 Haaa _��� just put your lipstick over it you'll have the perfect pout _���,female,"Topik kecantikan, ekspresif"
Rose to play without minutes restriction in season opener: The Chicago Bulls will open a new era under coach F... https://t.co/6ec5nDJw9W,male,"Berita olahraga, nada faktual"
Holiday Candy Course: Learn the art of gourmet candy making and make gourmet chocolates in your own kitchen! https://t.co/j1BKKeIqBA,female,Nada promosi/kuliner
Starting to like the new Conner family a little #CoronationStreet,female,"Nada personal, fandom TV show"
Colt here! Be sure to Nicole &amp; Colt Edwards group! 10/27 we will start our fun and games for the Release of RECKLESS!...,male,"Nada promosi, netral"
1 new unfollower in the last day. Via https://t.co/K1SASMDLEB,male,"Statistik followers, datar"
When I'm working out&amp;I'm so exhausted I feel like breaking down any sec listening to Hall Of Fame always gives me the kick I need to go on_�ջ_ُ_,female,Nada emosional + motivasi personal
"#Mens #Shirt #BreakingBad WALT ""I AM THE DANGER WHITE #Tshirt SIZE: MEDIUM **NEW** https://t.co/Ds5Zl3iODk #Bestseller #Auction",male,"Promosi produk pria, maskulin"
Literally looking up old songs for the rest of the day,female,"Nada personal, netral"
@PrestigeDiesels Yeah... I had to nail my mat to the floor! @LeahRebeccaUK,male,"Nada bercanda, maskulin"
The ADA and you. How does this regulation affect your office? #askHCSI https://t.co/i3CLomKeMd,male,"Nada formal, topik hukum/regulasi"
@KAtheIntellect easy af that you left the pencil huh lol,female,"Slang + lol, nada santai"
Preparing for the worst but still praying for the best!,female,"Nada reflektif, emosional"
@maxschrems check out work on the ���consent receipt�۝ and safe harbour via consent analysis https://t.co/R5ShghCSxe,male,"Formal, akademis"
Im never goin find the right girl,male,"Nada personal, romantis, emosional"
"@scotthoying ""WE COULD BE KINGS OF THE WORLD"" _��__��__��_",female,"Nada emosional, musik/fandom"
"@D_BBach Yes and no. They were bad last night, but Bradford also has the 2nd-worst off-target % in the NFL. Goes both ways.",male,"analisis olahraga, faktual, netral."
#massimolandi #newyork #newyorkcity #nyc The Wall Street Bull #economia #economics https://t.co/0rqkG8q5AB,male,"informatif, topik ekonomi."
"hi @Harry_Styles ,thank you for being
so nice. you're my fave art but even
the best artist couldn't draw you ��� ���.
follow me, please? ���79,605",female,Penuh emosi dan pujian.
Quad and a half kills to start off the round! 27/6 block party.  Play on pc? Slip into my��_ https://t.co/fecWouEcfU,male,"gaming, slang, ekspresif."
"now back to this bitch that thinks it's okay to that the n word, @dinahfatty what's good?",male,"kasar, sarkasme, nada emosi tinggi"
Trey Wingo just did a Jim Halpert look to the camera when Herm Edwards was talking,male,"referensi TV, humor ringan."
Lets not forget the running backs too..if you can even stop the pass game. They have a pretty skilled lineman at fullback.. BRUH,male,"Gaya analisis olahraga, maskulin, ekspresif."
I want the new and old...I want the F5...i want a rehaul...I want what Vanneka wants,female,"Nada emosional, ekspresif, personal"
Wondering how to grow on twitter? I gained 107 followers in the past week. This is the app: https://t.co/eUCGj9sjxk,male,"Promosi tools/media sosial, nada netral"
Photo: Elite Squad: The Enemy Within - Jos̩ Padilha | Action &amp; Adventure |490521733: Elite Squad 2 is a... https://t.co/hajijeG0OJ,male,"Film action, maskulin"
I just finished htgawm and so much was revealed in the last 3 minutes I think dying,female,"emosional, fans film"
Who is going to be the first one to say goodbya,female,"Nada emosional, personal"
Review: ���Notorious RBG: The Life and Times of Ruth Bader Ginsburg�۪ https://t.co/0bE9eXEs0R,male,"Topik politik/hukum, formal"
"Im a huge fan of the Patriots, but some of you are just ignorant",male,"Topik olahraga, nada maskulin"
Leonardo DaVinci~ Just as iron rusts from disuse even so does inaction spoil the intellect.,male,"Quote filosofis, netral"
Photo: The Future of the Internet - Stanford Continuing Studies Program | Computer Science |384229952: The... https://t.co/ob6PlWD3du,male,"Akademik/teknologi, formal"
Photo: Persian Circle - The University of Chicago | Middle Eastern Studies |391212381: Persian Circle The... https://t.co/TSBvgrT7eP,male,"Akademik, formal"
View From The West Stand is pretty much going to write itself when we play Staines. Perfect draw for me. #lofc,male,"Olahraga (soccer), maskulin"
wles soa maravilhosp d+ p se d verdads @onedirection Artist Of The Year #AMAs,female,"Ada hashtag, bahas penghargaan, Gaya fangirl"
1 new tweep followed me in the last day. I find relevant people to follow with the #CopyFollowers feature of https://t.co/wtKUZZJHZ0,male,"Gaya informatif, promosi, Nada netral, sedikit teknis."
@DWTS360 interesting. Thanks for the read. _�ԏ  https://t.co/Uw9VNuzw91,male,"Nada ringan, respons, dengan ekspresi kecil"
"""All of the computer hacking techniques described are real."" SOCIAL ENGINEER is currently #FREE https://t.co/RctWv97BPy #kindle #mystery",male,"Gaya promosi, serius, topik hacking dan mystery."
